Name,tenure,Econ_Index,Journal_rank,Gender,Ethnicity,Surname_Initials,Rank,BA_to_PHD,Surname
Marti Mestieri,0,Disciplinary,1,male,4,3,9,8,Mestieri
Moritz Meyer-ter-Vehn,1,Disciplinary,1,male,1,3,20,5,Meyer-ter-Vehn
Jianjun Miao,1,Disciplinary,0,male,5,3,12,11,Miao
Anna Mikusheva,1,Disciplinary,1,female,1,3,2,3,Mikusheva
David A. Miller,1,Disciplinary,1,male,1,3,13,9,Miller
Amalia R. Miller,1,Disciplinary,0,female,1,3,35,5,Miller
Raoul Minetti,1,Disciplinary,0,male,1,3,23,6,Minetti
Alicia Sasser Modestino,1,Interdisciplinary,0,female,1,3,39,8,Modestino
Magne Mogstad,1,Disciplinary,0,male,1,3,3,3,Mogstad
Francesca Molinari,1,Disciplinary,1,female,1,3,14,6,Molinari
Corina Mommaerts,1,Disciplinary,1,female,1,3,38,8,Mommaerts
Jordi Mondria,1,Disciplinary,0,male,1,3,16,5,Mondria
Goncalo Monteiro,1,Disciplinary,0,male,1,3,31,7,Monteiro
Hyungsik Roger Moon,1,Disciplinary,1,male,5,3,15,9,Moon
Eduardo Morales,1,Disciplinary,1,male,1,3,11,5,Morales
Enrico Moretti,1,Disciplinary,1,male,1,3,5,7,Moretti
Peter Morrow,1,Disciplinary,1,male,1,3,16,9,Morrow
Melanie Morten,1,Disciplinary,1,female,1,3,4,8,Morten
Ismael Y. Mourifié,1,Disciplinary,1,male,3,3,29,9,Mourifié
Michael G. Mueller-Smith,1,Disciplinary,1,male,1,3,13,9,Mueller-Smith
Marc-Andreas Muendler,1,Interdisciplinary,1,male,1,3,33,6,Muendler
Arijit Mukherjee,1,Disciplinary,0,male,6,3,23,7,Mukherjee
Joseph Lyon Mullins,0,Disciplinary,0,male,1,3,44,7,Mullins
Alvin D. Murphy,1,Disciplinary,1,male,1,3,18,8,Murphy
Richard J. Murphy,1,Disciplinary,1,male,1,3,30,11,Murphy
Suresh Naidu,1,Interdisciplinary,1,male,6,3,6,7,Naidu
Mariacristina De Nardi,1,Disciplinary,1,female,1,3,21,6,Nardi
Anusha Nath,0,Interdisciplinary,0,female,6,3,21,11,Nath
